EVOLUCAO DAS IDEIAS DA FISICA,FIS003,1021
INTRODUCAO A BIOESTATISTICA,EST179,CAD 3 - 313
TQC: QUIMICA ORGANICA BIOLOGICA,QUI084,1026
QUIMICA INORGANICA I,QUI601,1021
QUIMICA GERAL EXPERIMENTAL C,QUI144,1003 a 1009 - Anexo I - DQ
QUIMICA ORGANICA CII,QUI189,CAD 3 - 413
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 313
ADMINISTRACAO FINANCEIRA,CAD167,CAD 3 - 309
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,CAD 3 - 411
FUNDAMENTOS DE MECANICA,FIS065,AUD. II
INTRODUCAO A LOGICA COMPUTACIONAL,DCC638,CAD1 - AUDITORIO 2A
CINETICA QUIMICA,QUI198,2006
ESTATISTICA,EST612,CAD 3 - 309
MATEMATICA DISCRETA,DCC111,CAD 3 - 309
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 408
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 408
FISICO-QUIMICA G I,QUI008,2015 DCC
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,CAD 3 - 413
QUIMICA INORGANICA F,QUI291,1023
MATEMATICA DISCRETA,DCC111,1014
CALCULO NUMERICO,DCC034,AUD. I
QUIMICA ANALITICA I,QUI606,CAD 3 - 309
FUNDAMENTOS DE QUIMICA ANALITICA,QUI051,CAD 3 - 409
TSI: INTRODUCAO A LOGICA COMPUTACIONAL.,DCC049,CAD1 - AUDITORIO 2A
FUNDAMENTOS DE OSCILACOES ONDAS E OPTICAS,FIS086,CAD 3 - 309
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,CAD 3 - 409
ESTRUTURA DA MATERIA II,FIS076,1011
QUIMICA GERAL B,QUI003,1016
RECURSOS DIDATICOS PARA O ENSINO DE FISICA A,FIS090,2051 LAB FIS
QUIMICA GERAL C,QUI143,CAD 3 - 312
RECICLAGEM E TRATAMENTO DE REJEITOS SOLIDOS INDUSTRIAIS,QUI255,1017
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,CAD 3 - 409
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,CAD 3 - 410
INTRODUCAO A QUIMICA DE MATERIAIS,QUI153,1025
FISICA EXPERIMENTAL BASICA - ONDAS E OPTICA,FIS155,2045 a 2048
TQB: INTRODUCAO DE HISTORIA DA QUIMICA NO ENSINO,QUI014,1023
FUNDAMENTOS DE OSCILACOES ONDAS E OPTICAS,FIS086,CAD 3 - 406
TSI: ALGORITMOS PARA BIOINFORMATICA I,DCC049,2013 DCC
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 406
FISICA EXPERIMENTAL AII,FIS094,3094 a 3096
TSI: TEORIA DOS GRAFOS,DCC049,2015 DCC
QUIMICA DO ESTADO SOLIDO,QUI202,1020
QUIMICA ORGANICA I F,QUI207,1025
TABELAS DE SOBREVIVENCIA NAS CIENCIAS ATUARIAIS,POP007,1018
RESOLUCAO DE PROBLEMAS,MAT045,CAD 3 - 413
TFC: NOCOES FISICAS DE MICROSCOPIA ELETRONICA,FIS045,1017
PROGRAMACAO DE COMPUTADORES,DCC001,1016
PROGRAMACAO DE COMPUTADORES,DCC001,CAD 3 - 307
MECANICA FUNDAMENTAL,FIS031,CAD 3 - 408
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,CAD 3 - 413
MECANICA FUNDAMENTAL,FIS031,CAD 3 - 408
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,CAD 3 - 411
MATEMATICA,MAT130,1022
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 313
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,CAD 3 - 413
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 406
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,CAD 3 - 411
SEMINARIOS II,EST189,1011
FISICA EXPERIMENTAL AI,FIS089,3094 a 3096
QUIMICA GERAL F,QUI203,CAD 3 - 412
FUNDAMENTOS DE FISICA F,FIS093,1022
USUARIOS DA INFORMACAO,TGI004,CAD 3 - 310
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,CAD 3 - 410
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,CAD 3 - 409
GEOMETRIA ESPACIAL,MAT050,1024
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 409
FISICA ACUSTICA E ONDAS,FIS150,1025
INTRODUCAO AO SEGURO E PREVIDENCIA,EST046,1018
EQUACOES DIFERENCIAIS A,MAT015,CAD 3 - 313
QUIMICA GERAL B,QUI003,1019
PROGRAMACAO E DESENVOLVIMENTO DE SOFTWARE I,DCC203,CAD 3 - 211
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 313
TFC: TOPICO EM MECANICA QUANTICA,FIS045,1021
QUIMICA ORGANICA I,QUI603,1023
EQUACOES DIFERENCIAIS A,MAT015,CAD 3 - 409
TCC: MEDICAO E QUALIDADE DE SOFTWARE,DCC030,2016 DCC
TOPICOS EM DEMOGRAFIA - METODOS DEMOGRAFICOS APLICADOS,POP004,1020
PROGRAMACAO DE COMPUTADORES,DCC001,CAD 3 - 412
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,1012
TES: ARQUITETURA DE SOFTWARE,DCC890,2014 DCC
INTRODUCAO A BIOQUIMICA,QUI035,2009
REDES DE COMPUTADORES,DCC023,1016
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,CAD 3 - 413
QUIMICA ORGANICA II,QUI605,1003 a 1009 - Anexo I - DQ
PROBABILIDADE E PROCESSOS ESTOCASTICOS,EST045,CAD 3 - 312
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT105,1012
INTRODUCAO AO ESTUDO DE MINERAIS,GEL054,1025
EQUACOES DIFERENCIAIS B,MAT016,CAD 3 - 412
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,CAD 3 - 411
TSI: BANCOS DE DADOS GEOGRAFICOS,DCC049,2014 DCC
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 406
EQUACOES DIFERENCIAIS C,MAT040,1023
INTRODUCAO A TOPOLOGIA,MAT234,2030
EQUACOES DIFERENCIAIS A,MAT015,CAD 3 - 409
QUIMICA INORGANICA CI,QUI147,1014
ESPECTROSCOPIA,QUI219,1011
PROGRAMACAO E DESENVOLVIMENTO DE SOFTWARE II,DCC204,CAD 3 - 310
